"(6.413702876944962, 50.323279738067505)"
"(6.41851068203589, 50.32745259031897)"
"(6.9162991773288125, 51.504053033775975)"
"(6.916530341927297, 51.503765250862074)"
"(6.917917309080229, 51.50318968503427)"
"(6.918148470759003, 51.50318968503427)"
"(6.937670216540325, 51.50016796443841)"
"(6.938132498297405, 51.49973629006756)"
"(6.939057061811841, 51.49944850715366)"
"(6.939981623137101, 51.49930461569671)"
"(6.906759192368342, 51.50189466192177)"
"(6.907452657697678, 51.50189466192177)"
"(6.907914967917235, 51.50189466192177)"
"(6.908146123027014, 51.50189466192177)"
"(6.908377262079986, 51.501606879007866)"
"(6.905834571929227, 51.501175204637015)"
"(6.907914928505729, 51.501031313180064)"
"(6.964085440636901, 51.501175204637015)"
"(6.963854281148246, 51.501031313180064)"
"(6.964085431878968, 51.501031313180064)"
"(6.963623123119308, 51.500887421723114)"
"(6.963854273120209, 51.500887421723114)"
"(6.96408542312111, 51.500887421723114)"
"(6.948996205339894, 51.498729049868906)"
"(6.935422355914874, 51.50232633629262)"
"(6.93657809497066, 51.501606879007866)"
"(6.936809248620729, 51.501606879007866)"
"(6.936578085482668, 51.501462987550916)"
"(6.936809238402891, 51.501462987550916)"
"(6.936578066506915, 51.501175204637015)"
"(6.936809217967466, 51.501175204637015)"
"(6.936578057019155, 51.501031313180064)"
"(6.936809207749877, 51.501031313180064)"
"(6.936578047531475, 51.500887421723114)"
"(6.936809197532376, 51.500887421723114)"
"(6.949753955205574, 51.50275801066347)"
"(6.949060456301623, 51.50218244483567)"
"(6.950216230390745, 51.50203855337872)"
"(6.949060410321337, 51.500887421723114)"
"(6.932521608352237, 51.49700235238555)"
"(6.944501354696597, 51.50462859960378)"
"(6.947044203967511, 51.504484708146826)"
"(6.945361984033293, 51.50218244483567)"
"(6.945593140602806, 51.50218244483567)"
"(6.944668503376884, 51.501462987550916)"
"(6.945593109948897, 51.501319096093965)"
"(6.9514363116295455, 51.504340816689876)"
"(6.953285586081567, 51.50304579357732)"
"(6.953516747030428, 51.50304579357732)"
"(6.951898617468779, 51.50290190212037)"
"(6.953285578782508, 51.50290190212037)"
"(6.915543099678122, 51.50247022774957)"
"(6.91346267084579, 51.50203855337872)"
"(6.913462657708512, 51.501175204637015)"
"(6.91554301209553, 51.501031313180064)"
"(6.916005303339474, 51.500887421723114)"
"(6.913462651140118, 51.50074353026616)"
"(6.913693800411203, 51.50074353026616)"
"(6.972472367466042, 51.50491638251768)"
"(6.971778856151448, 51.50333357649122)"
"(6.971778856151448, 51.50318968503427)"
"(6.972010017830222, 51.50318968503427)"
"(6.971778856151448, 51.50304579357732)"
"(6.972010017100309, 51.50304579357732)"
"(6.941535784831047, 51.4968584609286)"
"(6.947506496666545, 51.50491638251768)"
"(6.9477376656447785, 51.50462859960378)"
"(6.950280515645666, 51.504484708146826)"
"(6.949818164549864, 51.504196925232925)"
"(6.94843116090005, 51.504053033775975)"
"(6.948431157980256, 51.503909142319024)"
"(6.949586971483472, 51.50362135940512)"
"(6.950511589001735, 51.50304579357732)"
"(6.953221270904391, 51.50275801066347)"
"(6.9516031522913275, 51.50261411920652)"
"(6.952065469809647, 51.50261411920652)"
"(6.951834308130935, 51.50247022774957)"
"(6.952990098277294, 51.50247022774957)"
"(6.952296619810181, 51.50232633629262)"
"(6.952758934408959, 51.50232633629262)"
"(6.952990091708348, 51.50232633629262)"
"(6.914912172219325, 51.50362135940512)"
"(6.914912165649948, 51.50347746794817)"
"(6.915374483898011, 51.50333357649122)"
"(6.9153744758689095, 51.50318968503427)"
"(6.93704041321858, 51.501606879007866)"
"(6.937271566868649, 51.501606879007866)"
"(6.937502720518718, 51.501606879007866)"
"(6.937733874168787, 51.501606879007866)"
"(6.93704041321858, 51.501462987550916)"
"(6.937271566138803, 51.501462987550916)"
"(6.937502719059027, 51.501462987550916)"
"(6.93773387197925, 51.501462987550916)"
"(6.937965024899474, 51.501462987550916)"
"(6.9375027175993464, 51.501319096093965)"
"(6.93773386978973, 51.501319096093965)"
"(6.937965021980113, 51.501319096093965)"
"(6.93704041321858, 51.501175204637015)"
"(6.93727156467913, 51.501175204637015)"
"(6.93750271613968, 51.501175204637015)"
"(6.9377338676002305, 51.501175204637015)"
"(6.93704041321858, 51.501031313180064)"
"(6.937271563949302, 51.501031313180064)"
"(6.937502714680025, 51.501031313180064)"
"(6.937733865410747, 51.501031313180064)"
"(6.93796501614147, 51.501031313180064)"
"(6.93704041321858, 51.500887421723114)"
"(6.937271563219481, 51.500887421723114)"
"(6.937502713220382, 51.500887421723114)"
"(6.937733863221283, 51.500887421723114)"
"(6.9379650132221835, 51.500887421723114)"
"(6.937502711760751, 51.50074353026616)"
"(6.937733861031837, 51.50074353026616)"
"(6.925314664555552, 51.50477249106073)"
"(6.926470513096613, 51.50477249106073)"
"(6.926470502876911, 51.50462859960378)"
"(6.9248523149194625, 51.504484708146826)"
"(6.925314644846278, 51.504340816689876)"
"(6.924852304699965, 51.504196925232925)"
"(6.926008129882157, 51.504053033775975)"
"(6.926008121122774, 51.503909142319024)"
"(6.943807912728687, 51.50477249106073)"
"(6.943807912728687, 51.50477249106073)"
"(6.943345494477116, 51.50347746794817)"
"(6.918548099318396, 51.50247022774957)"
"(6.917854620121401, 51.50232633629262)"
"(6.916929986544607, 51.50203855337872)"
"(6.954376991712665, 51.50247022774957)"
"(6.937670216540325, 51.50016796443841)"
"(6.938132498297405, 51.49973629006756)"
"(6.939057061811841, 51.49944850715366)"
"(6.939981623137101, 51.49930461569671)"
"(6.932521608352237, 51.49700235238555)"
"(6.941535784831047, 51.4968584609286)"
"(6.932521608352237, 51.49700235238555)"
